% caput cereal	1
fertilizer pest control	1
land upstream dike	1
selected indicator dimension capital	1
see example farmer organization slm waste share	1
gender equality is goal	1
selected indicator dimension capital ae scenario	1
maintenance work is carried rice development scheme	1
government revenue enabling government expenditure government service	1
efficiency n fertilizer	1
community water management system	1
rice hulling operation	1
have lost livelihood	1
job people woman	1
pollution river water	1
implementation sri lowland	1
material footprint gdp	1
become credit value chain	1
address material footprint increase	1
plant express potential	1
biodiversity frog bird insect irrigation	1
rainwater wash salt	1
labor leading neglect dike	1
food security community	1
biomass micro invertebrate	1
income employment food security	1
borrow fund import	1
be added field improve soil fertility	1
diversity variety specific locality	1
yield more men	1
have access credit	1
valuation harvest residue	1
member producer organization	1
producer organization repay loan being excluded bank	1
have reported having power	1
credit insurance system	1
selling wa quality	1
farmer fewer input	1
rice miller contract	1
farmer perception credit uncertainty participation contract	1
producer engaged spot transaction faced competition	1
producer reach yield t	1
tobit model found stronger	1
partner play tend favor co	1
be sold market	1
doe seem be	1
gain village environment	2
dominance co context	1
farmer output rice senegal river	1
plant had biomass	1
% wa chosen	1
salinity onset season reach	1
access financing equipment material tilling harvesting threshing processing	1
investor access land rice	1
investor center are	1
opportunity importer invest rice produc	1
rice crossing transaction	1
food security event renewed instability market rice	1
intervention become prospect sustainability duce	1
decision allocate resource consider consumption	1
tend deal smaller quantity	1
strongest motivation is threat import business	1
fertilizer weed water management	1
acteristics following resource availability negativity are imposed saijxj bi	1
stock market crash	1
value is equiv alent calculated value	1
determi cid nant result is success research program	1
cropping yield advantage season is yield	1
accuracy analysis presented	1
prospect rice cropping	1
etables term model	1
likelihood be exposed insurance program	1
probability adopt insurance program	1
access credit market	1
adoption asri system	1
proposed treatment employing	1
weed biomass plot	1
weed biomass did yield compared rmp table le weed control occurred	1
wider circle market actor participate rice value chain bringing job growth country	1
renewed interest agriculture people	1
supply rice srv	1
irrigation scheme need rehabilitation	1
al weeding labour	1
delay rice planting	1
fewer town city colony	1
seed fertiliser producer keep	1
opposition land transfer	1
poa process land-use planning	1
neglect dike protecting field	1
people become engaged undertaking self-confidence determination	1
rice is meeting demand	1
farme basin com	1
distinguished crop livestock farming	1
subsistence farmer feed people	1
country subsistence farmer grow food export consumption	1
farmer cultivate larger	1
importer purchase broken rice is is	1
yield w senegal valley	1
technology practice are	1
variability observed rice yield response nitrogen environment	1
partnership pce donor	1
getting import quantity	1
most le half farmer had access credit	1
buy equipment needed	1
expansion availability machinery service	1
matam contributed srv rice	1
risk tradeoff regulating	1
rice miller d	1
w cfa t	1
return quality paddy	1
growth paddy plant	1
dans cadre du plan	1
agriculture delta plain	1
diversification rice crop	1
soil sodicity phenomenon	1
salinization water resource	1
risk sodisation soil	1
laboratory department university	1
rice grain yield	1
rice susceptibility index	1
sea water intrusion	1
identify trend found	1
issue poverty inequality	1
varying farmer income	1
prefer term chain	1
do include participation model	1
modernization market prospect associated demand	1
farmer likelihood enter market credit	1
tend follow pattern	1
assessment irrigation allocation work capacity crop	1
yield rain fed crop	1
water requirement crop	1
subsistence system is interest evaluate labor	1
application p fertilizer	1
productivity cropping system rice	1
fertilization rice cropping system	1
farmer were recruited community	1
group community were represented including participant age gender landholding	1
predict rainfall world	1
delayed sowing expose crop pressure	1
farmer have dry harvested paddy field prepare land rainy season cropping	1
utilisation scheme repair manual engineer rice farmer	1
paddy farmer obtain more income	1
rainy season cropping	1
realize value chain establishment	1
none plan ha been materialized	1
sustain paddy cultivation	1
functioning soil agroecosystem	1
farmer exposure agrochemicals	1
minants sn sn 3a	1
risk sterility caused	1
incentive conserve land	1
planning horizon incentive invest	1
crop productivity livestock productivity availability fertilizer quality food insecurity	1
irrigation scheme senegal river valley rehabilitation	1
crop development season	1
farmer bridge yield gap	1
dissemination appropriation variety farmer field	1
rice producer were hit	1
producer zucchini crop	1
arrears peasant organization	1
began concentrate depend rice cropping	1
member repay debt organization cash paddy rice	1
grew zucchini crop	1
villager tomato crop farmland choose farmland tomato cropping oodplain sandy plain developing cropping schedule	2
example villager grew onion	2
exaggeration water requirement treatment	1
research interaction awd irrigation salinity be undertaken	1
recovery fertilizer n	1
sustainability rice cropping	1
rice being sold order repay loan	1
emergence larger trader	1
development coordination value chain	1
farmer access credit	1
opportunity development coordination	1
trader bring rice mill	1
importer begin gravitating	1
store rice advance sale revenue	1
