Original Sentence,Causal Text,Normalized Causal,Relation,Effect Text,Normalized Effect,Count
"Focusing on efficiency ( for example for water use ) , synergies ( for example with agro-livestock integration ) and the reduction of external input needs ( for example pesticide use ) , the implementation of the proposed agroecological policies in this simulation analysis allows a decrease of government expenditure of around 0.6 % of GDP each year ( as opposed to investment in large scale schemes with high debt servicing ) that leads to a decrease of the total debt-GDP-ratio of around 74 % in 2050 in the AE scenario ( where it is around 6 % ) compared to the BAU scenario ( still at around 23 % ) .",government expenditure % GDP opposed investment scale schemes debt servicing,government expenditure % gdp opposed investment scale scheme debt servicing,INHIBIT,total debt-GDP-ratio % AE scenario,debt-gdp-ratio % ae scenario,1
"The value of such a comprehensive , long-term analysis , and a holistic impact assessment that reviews the interdependencies between different dimensions of capital is highlighted , reinforcing the aims of the TEEB AgriFood initiative .",value comprehensive long-term analysis holistic assessment reviews interdependencies different dimensions capital is highlighted,value analysis assessment review interdependency dimension capital is highlighted,PROMOTE,TEEB AgriFood initiative,teeb agrifood initiative,2
"These policies in combination with higher expenditure for farmers ’ organization , knowledge dissemination from farmer to farmer , increased use of natural fertilizer and biological pest control as well as improvements in land tenure lead to higher productivity , additional employment and more sustainable food production .",policies expenditure farmers organization,policy expenditure farmer organization,PROMOTE,land tenure lead productivity,land tenure lead productivity,1
"These changes , combined with population growth , could lead to a 30 % reduction in per capita cereal production in 2025 .",combined population growth,combined population growth,INHIBIT,% capita cereal,% caput cereal,1
"These policies in combination with higher expenditure for farmers ’ organization , knowledge dissemination from farmer to farmer , increased use of natural fertilizer and biological pest control as well as improvements in land tenure lead to higher productivity , additional employment and more sustainable food production .",dissemination farmer farmer,dissemination farmer farmer,PROMOTE,natural fertilizer biological pest control,fertilizer pest control,1
"Proposed policy response : Development programmes must be designed to ensure that water flow , always in relation to desalination processes , is well controlled to prevent land upstream of the anti-salt dike from being denied water and , on the contrary , to prevent the land closest to the dam from being excessively submerged .",water flow relation desalination processes,water flow relation desalination process,INHIBIT,land upstream anti-salt dike,land upstream dike,1
Policy options as per the outcomes from this assessment : The assessment points to many implications for policy options as outlined above in section 8. Most directly the assessment highlights that agroecological interventions are highly effective : The implementation of the proposed policies generate a significant improvement of all selected indicators for the four dimensions of capital .,implementation proposed policies,implementation proposed policy,PROMOTE,selected indicators dimensions capital,selected indicator dimension capital,1
- Due to the support of small scale farmers and mills ( see for example farmers organization and SLM ) the waste share is reduced ( increasing the food available for the population and the agriculture production value per ton Processing share increase due to small scale mills,support scale farmers mills,support scale farmer mill,INHIBIT,see example farmers organization SLM waste share,see example farmer organization slm waste share,1
"These policies in combination with higher expenditure for farmers ’ organization , knowledge dissemination from farmer to farmer , increased use of natural fertilizer and biological pest control as well as improvements in land tenure lead to higher productivity , additional employment and more sustainable food production .",dissemination farmer farmer,dissemination farmer farmer,PROMOTE,land tenure lead productivity,land tenure lead productivity,1
"Higher gender equality is both a goal in itself and in addition , it improves voice and accountability in the country contributing to a higher level of good governance ( Kaufmann et al 2017 ) with all the subsequent positive effects of an improvement of on governmental service provision and productivity in all sectors ( Kaufmann et al 2005 , Kaufmann et al 1999 ) .",voice accountability country contributing governance subsequent positive governmental service provision productivity,voice accountability country contributing governance service provision productivity,PROMOTE,gender equality is goal,gender equality is goal,1
"2 ) AE interventions are highly effective : The implementation of the proposed policies generate a significant improvement of all selected indicators for the four dimensions of capital in the AE scenario compared to the BAU scenario , increasing for example yield for cereals on average by around 48 % in 2030 and around 69 % in 2050 , respectively cereal production by around 61 % in 2030 and around 93 % , in other words nearly doubling production , in 2050 ( Figure 10 ) .",implementation proposed policies,implementation proposed policy,PROMOTE,selected indicators dimensions capital AE scenario,selected indicator dimension capital ae scenario,1
"The value of such a comprehensive , long-term analysis , and a holistic impact assessment that reviews the interdependencies between different dimensions of capital is highlighted , reinforcing the aims of the TEEB AgriFood initiative .",value comprehensive long-term analysis holistic assessment reviews interdependencies different dimensions capital is highlighted,value analysis assessment review interdependency dimension capital is highlighted,PROMOTE,TEEB AgriFood initiative,teeb agrifood initiative,2
"The explicit registration of land designated for agroecology , with credit policies aligned could enable farmers - including women and youth , to have access to credit .",explicit registration land designated agroecology credit policies aligned,registration land designated agroecology credit policy aligned,PROMOTE,farmers including women youth,farmer including woman youth,1
"Canal maintenance work is not regularly carried out in major rice developments schemes because of a lack of rigorous monitoring on both the SAED and operator sides , resulting in loss of pressure and pumping system efficiency .",rigorous monitoring SAED operator sides,monitoring saed operator side,PROMOTE,Canal maintenance work is carried rice developments schemes,maintenance work is carried rice development scheme,1
"For example , the increase of agriculture production leads to an increase of GDP that allows higher government revenue enabling higher government expenditure for more government services , for example in education , health , infrastructure , increasing productivity and consequently GDP .",example education health infrastructure productivity GDP,example education health infrastructure productivity gdp,PROMOTE,government revenue enabling government expenditure more government services,government revenue enabling government expenditure government service,2
It reduces the NH3 volatilization losses through its influence on floodwater pH that leads to the conservation of urea-N in the system to improve the efficiency of N fertilizers .,influence floodwater pH,influence floodwater ph,PROMOTE,efficiency N fertilizers,efficiency n fertilizer,1
"Proposed policy response : Increase public awareness of the potential for sustainable rice farming systems , including agroecological practices , to protect the environment through the rational management of water and regeneration of soils",public awareness potential sustainable rice farming systems including agroecological practices,awareness potential rice farming system including practice,PROMOTE,protect environment rational management water regeneration soils,protect environment management water regeneration soil,1
"• Maintenance of rice ecosystems that enhance biodiversity ( fish , frogs , birds , insects ) • Smaller-scale irrigation and community water management systems that make more",Maintenance rice ecosystems,maintenance rice ecosystem,PROMOTE,community water management systems,community water management system,1
"Processing infrastructure and investment issues from a researcher perspective : In recent developments in a number of African countries , the liberalisation of rice marketing and milling has led to the introduction of small rice hulling operations ( Stryker 2010 ) .",liberalisation rice marketing milling,liberalisation rice marketing milling,PROMOTE,rice hulling operations,rice hulling operation,1
"This should be the case in the rural villages especially , which now have lost their traditional livelihoods due to the river development schemes .",river development schemes,river development scheme,PROMOTE,have lost livelihoods,have lost livelihood,1
"Formalizing the sector , starting with a redistribution of land , would create jobs for young people and women .",Formalizing starting redistribution land,formalizing starting redistribution land,PROMOTE,jobs young people women,job people woman,1
"Drainage networks in large rice development schemes are major sources of pollution of the river water where they are directly connected , but also of the groundwater through the infiltration of floodwater from rice plots .",networks rice development schemes,network rice development scheme,INHIBIT,pollution river water,pollution river water,1
"Focusing on efficiency ( for example for water use ) , synergies ( for example with agro-livestock integration ) and the reduction of external input needs ( for example pesticide use ) , the implementation of the proposed agroecological policies in this simulation analysis allows a decrease of government expenditure of around 0.6 % of GDP each year ( as opposed to investment in large scale schemes with high debt servicing ) that leads to a decrease of the total debt-GDP-ratio of around 74 % in 2050 in the AE scenario ( where it is around 6 % ) compared to the BAU scenario ( still at around 23 % ) .",implementation proposed agroecological policies simulation analysis,implementation proposed policy simulation analysis,PROMOTE,government expenditure % GDP opposed investment scale schemes debt servicing,government expenditure % gdp opposed investment scale scheme debt servicing,1
"For instance , the implementation of SRI in non-improved lowlands has been constrained by the impossibility of water control , as plots were not leveled and were exposed to sudden flooding after heavy rainfall .",impossibility water control,impossibility water control,INHIBIT,implementation SRI lowlands,implementation sri lowland,1
"For example , to prevent the negative side-effects from positive GDP growth ( caused by the agroecological interventions ) further additional policies in other sectors might be appropriate such as further promoting material consumption efficiency and recycling in other ( production ) sectors to ensure sustainable consumption and production patterns and to address the increasing material footprint generated by the increase of GDP .",material consumption efficiency,material consumption efficiency,PROMOTE,material footprint GDP,material footprint gdp,1
"Credit in the value chain issues from a civil society perspective : The market regulation system put in place has enabled the financial sector to become more involved with credit in the value chain , alongside the Caisse Nationale de Cr é dit Agricole du S é n é gal ( CNCAS ) , the operations of the Banque Nationale pour le D é veloppement Economique ( BNDE ) , the Bourse R é gionale des Valeurs Mobili è res ( BRVM ) and other institutions that have created positions as value chain managers .",market regulation system put place,market regulation system put place,PROMOTE,financial become involved credit value chain,become credit value chain,1
"For example , to prevent the negative side-effects from positive GDP growth ( caused by the agroecological interventions ) further additional policies in other sectors might be appropriate such as further promoting material consumption efficiency and recycling in other ( production ) sectors to ensure sustainable consumption and production patterns and to address the increasing material footprint generated by the increase of GDP .",material consumption efficiency,material consumption efficiency,PROMOTE,address material footprint increase,address material footprint increase,1
"Rather , it is a knowledge-based crop management approach that allows plants to better express their genetic potential , which leads to improved plant growth and productivity .",is knowledge-based crop management,is crop management,PROMOTE,plants express genetic potential,plant express potential,1
"These policies in combination with higher expenditure for farmers ’ organization , knowledge dissemination from farmer to farmer , increased use of natural fertilizer and biological pest control as well as improvements in land tenure lead to higher productivity , additional employment and more sustainable food production .",policies expenditure farmers organization,policy expenditure farmer organization,PROMOTE,natural fertilizer biological pest control,fertilizer pest control,1
"• Maintenance of rice ecosystems that enhance biodiversity ( fish , frogs , birds , insects ) • Smaller-scale irrigation and community water management systems that make more",Maintenance rice ecosystems,maintenance rice ecosystem,PROMOTE,biodiversity fish frogs birds insects Smaller-scale irrigation,biodiversity frog bird insect irrigation,1
"During the first rain , the gates of the rice fields and fishponds are opened to allow the rainwater to wash away any salt that may have accumulated .",gates rice fields fishponds,gate rice field fishpond,PROMOTE,rainwater wash salt,rainwater wash salt,1
"The migration of young men to cities has caused sever labor shortages , leading to the neglect and eventual collapse of the dikes protecting the mangrove - recovered fields .",migration young men cities,migration men city,INHIBIT,sever labor leading neglect eventual dikes,labor leading neglect dike,1
This situation must remain as such for the rice culture to continue to be practiced ensuring the food security of the communities .,rice culture continue be practiced,rice culture continue be practiced,PROMOTE,food security communities,food security community,1
"For example , the increase of agriculture production leads to an increase of GDP that allows higher government revenue enabling higher government expenditure for more government services , for example in education , health , infrastructure , increasing productivity and consequently GDP .",example education health infrastructure productivity GDP,example education health infrastructure productivity gdp,PROMOTE,government revenue enabling government expenditure more government services,government revenue enabling government expenditure government service,2
Research has shown that the exclusion of Carbofuran use in rice fields increases on average the biomass of aquatic micro invertebrate per hectares by 444 % ( Mullie et al. 1991 ) .,exclusion rice fields,exclusion rice field,PROMOTE,biomass aquatic micro invertebrate,biomass micro invertebrate,1
"The small scale of informal hullers and small rice miles allows them to be owned and operated by a number of small entrepreneurs , creating income and employment , and — — though this — — improved food security .",scale informal hullers rice,scale hullers rice,PROMOTE,income employment food security,income employment food security,1
"Increased cereal production has the potential to reduce cereal import dependence and the government ’s need to borrow funds for imports , reducing interest payments on public debt , freeing fund to be invested in farmer trainer , small scale water management systems and small and medium sized rice processing facilities .",cereal import dependence,cereal import dependence,INHIBIT,borrow funds imports,borrow fund import,1
"In addition , the quality and quantity of dung improves which as well can be added to the field again to improve soil fertility .",quality quantity dung,quality quantity dung,PROMOTE,be added field improve soil fertility,be added field improve soil fertility,1
"The quality preferences of rice consumers , over millennia , have resulted in a wide diversity of varieties specific to different localities .",quality preferences rice consumers,quality preference rice consumer,PROMOTE,diversity varieties specific different localities,diversity variety specific locality,1
"The project has brought other benefits to producers : the time spent on working on land preparation for cropping has in fact decreased ; women , in particular , benefited from this and were able to increase the amount of time devoted to other agricultural activities , and thus improving their yields more than the men could .",spent working land preparation cropping,spent working land preparation cropping,INHIBIT,yields more men,yield more men,1
"The explicit registration of land designated for agroecology , with credit policies aligned could enable farmers - including women and youth , to have access to credit .",farmers including women youth,farmer including woman youth,PROMOTE,have access credit,have access credit,1
"Irrigated rice production - residue management practices issues from a civil society perspective : Community management rules , if adopted , could result in a better valuation of harvest residues .",Community management rules,community management rule,PROMOTE,valuation harvest residues,valuation harvest residue,1
"In this paper , we use the number of members of the producer organization as a proxy for the surface area farmed by the producer organization because part of the data about the surface area was missing .",surface was missing,surface wa missing,PROMOTE,members producer organization,member producer organization,1
"First , the development of credit insurance systems , which were introduced by CNCAS in the Senegal River Valley , could prevent producer organizations unable to repay loans from being excluded by the formal banks and from turning to less proﬁtable funding agree - ments .",development credit insurance systems,development credit insurance system,INHIBIT,producer organizations unable repay loans being excluded formal banks,producer organization repay loan being excluded bank,1
The price per kilogram is negotiated before the harvest and farmers have reported having little power to inﬂuence it because they have no alternative way to fund rice growing during the subsequent season .,have alternative fund rice,have fund rice,INHIBIT,have reported having power influence,have reported having power,1
Policies supporting the mod - ernization of domestic grain value chains in West Africa should promote credit insurance systems and support the negotiation of an incentive price in contracts .,Policies supporting mod,policy supporting mod,PROMOTE,credit insurance systems,credit insurance system,1
"The lower selling price was not due to lower quality , because the same farmers sold the same quality of paddy ( Sahel 108 ) at FCFA 103.88 / kg with a production contract and at FCFA 119.09 / kg through spot transactions .",same farmers sold same quality paddy Sahel contract,farmer sold quality paddy sahel contract,INHIBIT,selling was due quality,selling wa quality,1
"The poorest farmers used fewer inputs than recommended because they did not have suﬃcient cash-ﬂow to purchase inputs in advance ( Fall , 2006 ) .",did have sufficient cash-flow purchase inputs advance,did have purchase input advance,PROMOTE,farmers fewer inputs,farmer fewer input,1
The distance from a rice miller oﬀering a production contract in - ﬂuences participation in this contract because both farmers and rice millers prefer to undertake a contract with partners that are geo - graphically close .,farmers rice millers prefer undertake contract partners,farmer rice miller prefer undertake contract partner,PROMOTE,rice miller offering contract,rice miller contract,1
We consider that farmers ’ perceptions of credit uncertainty inﬂuence participation in contracts because these contracts were set up to secure credit reimbursement .,contracts were set secure credit reimbursement,contract were set secure credit reimbursement,PROMOTE,farmers perceptions credit uncertainty influence participation contracts,farmer perception credit uncertainty participation contract,1
"Indeed , producers engaged in spot transactions also faced this competition because the loan is repaid collectively .",loan is repaid,loan is repaid,PROMOTE,producers engaged spot transactions faced competition,producer engaged spot transaction faced competition,1
"By 2014 , support for intensiﬁcation provided by SAED since 1973 had enabled producers to reach yields of 6.7 t / ha in the dry season and 5.3 in the wet season .",support intensification provided SAED,support provided saed,PROMOTE,producers reach yields t,producer reach yield t,1
Tobit models found a stronger impact than PSM because they did not take the zero-values into consideration .,did take zero-values consideration,did take zero-values consideration,INHIBIT,Tobit models found stronger,tobit model found stronger,1
"In addition , external partners often play a determinant role as they tend to favor COs because their public good activities typi - cally beneﬁt a larger share of the village popu - lation than MOs .",public benefit larger share village popu,larger share village popu,PROMOTE,external partners play determinant tend favor COs,partner play tend favor co,1
"The West is the most fertile region in the country and its high rainfall level enables the cultivation of demanding crops such as cotton , maize , rice , fruits , and vegetables , to be sold on domestic and interna - tional markets .",cultivation demanding crops,cultivation demanding crop,PROMOTE,be sold domestic interna tional markets,be sold market,1
"Even though capture of bene - ﬁts by elites and leaders has been extensively decried in the literature on VOs , this does not seem to be the case in West Africa , in part due to extensive openness of access to member - ship and strong internal checks on the distribu - tion of beneﬁts .",openness access member ship internal checks distribu,openness access member ship check distribu,INHIBIT,does seem be,doe seem be,1
"Gaining greater independence from equity considerations , for instance by recognizing diﬀerential entrepre - neurial abilities across members , could be a source of eﬃciency gains for MOs in the typical West Africa village environment .",Gaining independence equity considerations,gaining independence equity consideration,PROMOTE,efficiency gains village environment,gain village environment,1
"Since donors tend to be motivated by poverty reduction and avoidance of famine , their diﬀerential support to COs in regions of greater poverty and risk contributes to dominance of COs in these contexts .",differential support COs poverty risk,support co poverty risk,PROMOTE,dominance COs contexts,dominance co context,1
"Early sowing ( particularly in the WS ) , use of salt tolerant cultivars , and drainage during sensitive growth stages if ﬂood - water EC > 2 mS cm ( cid :255 ) 1 are guidelines that may improve farmers ’ output from rice ﬁelds in the Senegal River Delta .",flood water mS cid are guidelines,water m are guideline,PROMOTE,farmers output rice fields Senegal River,farmer output rice senegal river,1
"The plants , however , had more biomass because of the longer source built-up ( Asch et al ., 1999 , 1997a ) .",longer source built-up Asch,longer source built-up asch,PROMOTE,plants had biomass,plant had biomass,1
The 40 % limit was chosen because of the small number of genotypes achieving less than 40 % yield reduction under the conditions of the HDS when grown under constant salinity .,genotypes achieving % yield HDS,genotype achieving % yield hds,PROMOTE,% was chosen,% wa chosen,1
"However , salinity levels at the onset of both wet and dry season can still reach relatively high levels , because of the absence of the ponded water layer between seasons and at har - vest .",ponded water layer seasons vest,water layer season vest,INHIBIT,salinity onset wet dry season reach,salinity onset season reach,1
"Repair existing and construct new rice mills Facilitate access to and financing of equipment and material for tilling , harvesting , threshing , processing and",Repair existing construct new rice mills,repair existing construct rice mill,PROMOTE,access financing equipment material tilling harvesting threshing processing,access financing equipment material tilling harvesting threshing processing,1
"The current unprofitability of imported rice creates an opportunity for large importers to invest in local rice produc - tion , but the government attitude that “ the land in the north is for farmers in the north ” undermines the ability of private investors to access land for commercial rice production .",land is farmers,land is farmer,INHIBIT,private investors access land commercial rice,investor access land rice,1
"Investors , especially those from urban centers , are typically turned away by local authorities because they perceive such land to be reserved for local farmers .",perceive such land be reserved local farmers,perceive land be reserved farmer,PROMOTE,Investors urban centers are,investor center are,1
"The current unprofitability of imported rice creates an opportunity for large importers to invest in local rice produc - tion , but the government attitude that “ the land in the north is for farmers in the north ” undermines the ability of private investors to access land for commercial rice production .",unprofitability imported rice,unprofitability imported rice,PROMOTE,opportunity importers invest local rice produc,opportunity importer invest rice produc,1
"The GoS estimates that 20-30 percent of total rice exports flow informally to neighboring countries , presumably locally produced rice crossing the Senegal River to Mauritania in small transactions .",total rice exports flow neighboring countries,rice export flow neighboring country,PROMOTE,rice crossing transactions,rice crossing transaction,1
Reduced dependence on imports and greater consumer access to domestic rice will ensure greater food security in the event of renewed instability in the international market for rice .,dependence imports consumer access domestic rice,dependence import consumer access rice,PROMOTE,food security event renewed instability international market rice,food security event renewed instability market rice,2
"However , as interventions become more heavy-handed , the prospects for sustainability re - duce drastically because the project artificially shields market actors from actual risks — — and withdrawing such project assistance once begun is very difficult .",project shields market actors actual risks,project shield market actor risk,PROMOTE,interventions become heavy-handed prospects sustainability duce,intervention become prospect sustainability duce,1
"Because these households can employ their limited assets for both production and consumption activities , any decision to allocate resources for production activities will also consider the impact on consumption activities .",households employ assets consumption,household employ asset consumption,INHIBIT,decision allocate resources consider consumption,decision allocate resource consider consumption,1
"Natural agglomeration points in the value chain , such as traders and processors , have limited working capital and tend to deal in smaller quantities that introduce significant inefficiencies into the system .",Natural agglomeration points value chain,agglomeration point value chain,INHIBIT,tend deal smaller quantities,tend deal smaller quantity,1
"Perhaps the strongest motivation is the threat to their import business due to fluctuating prices and export policies , which have introduced a new element of uncertainty and , reportedly , unprofitability into their traditional business model .",unprofitability business model,unprofitability business model,PROMOTE,strongest motivation is threat import business,strongest motivation is threat import business,1
Reduced dependence on imports and greater consumer access to domestic rice will ensure greater food security in the event of renewed instability in the international market for rice .,dependence imports consumer access domestic rice,dependence import consumer access rice,PROMOTE,food security event renewed instability international market rice,food security event renewed instability market rice,2
"The ® ® ® nal technol - ogy ( T5 ) considered in the model combines all com - ponents of integrated crop management technology , including improved varieties , improved fertilizer , weed and water management , and ef ® ® ® cient and cost effective harvest and post-harvest technologies .",ponents integrated crop management technology including varieties,ponents crop management technology including variety,PROMOTE,fertilizer weed water management,fertilizer weed water management,1
"Because production is subject to constraints on the availability of resources and farm socioeconomic char - acteristics , the following resource availability and non - negativity constraints are imposed SaijXj bi ; Xj 0 ;",availability resources farm socioeconomic char,availability resource farm socioeconomic char,PROMOTE,acteristics following resource availability non negativity are imposed SaijXj bi,acteristics following resource availability negativity are imposed saijxj bi,1
The water allocation rules led to low irriga-tion frequency in fields far from the irrigation source .,water allocation rules,water allocation rule,INHIBIT,irriga-tion fields irrigation source,field irrigation source,2
"a. Describe the causes , including overproduction , under-consumption , and stock market speculation that led to the stock market crash of 1929 and the Great Depression .",stock market speculation,stock market speculation,PROMOTE,stock market crash,stock market crash,1
"However , the expected value of the IRR is not necessarily equiv ( cid :173 ) alent to the IRR calculated at the expected value of the variables because the IRR is a non-linear function of the uncertain variables .",is non-linear function uncertain variables,is function variable,INHIBIT,expected value is equiv alent calculated expected value,value is equiv alent calculated value,1
"A key determi ( cid :173 ) nant of this result is the low cost and rapid success of the research program , made possible by WARDA 's use of pre-existing germplasm collection of rice from IRRI and INGER to identify cultivars that would per ( cid :173 ) mit double-cropping ( for an overview of the IRRI pro ( cid :173 ) grams see Evenson and GoUin , 1997 ) .",pre-existing germplasm collection rice,germplasm collection rice,INHIBIT,key determi cid nant result is rapid success research program,determi cid nant result is success research program,1
"c For each year , k is calculated as sum over new seeds of the diffusion rate times yield advantage ; for double cropping yield advantage during the dry season is yield of Sahel 108 during dry season because prior to adoption farmers did not crop this land ; no farm-level estimate of the Sahel 108 yield is available for the dry season .",prior adoption farmers did crop land,adoption farmer did crop land,INHIBIT,cropping yield advantage dry season is yield,cropping yield advantage season is yield,1
"More detailed calibrations of a temperature sum based model , for example with specialised cal - ibration models ( van Oort et al. ( 2011 ) , ( Archontoulis et al ., 2014 ) , ( Dingkuhn et al ., 2015 ) ) could further increase the accuracy of the analyses presented in this paper , as would more detailed calibration of the crop growth simulation .",detailed calibrations sum based model example specialised cal ibration models,calibration sum based model example ibration model,PROMOTE,accuracy analyses presented,accuracy analysis presented,1
"The release of short duration varieties and the new insight on the interaction between fertility , source limitation and spikelet number theoret - ically lead to a more optimistic view on prospects for rice double cropping .",release varieties new interaction,release variety interaction,INHIBIT,optimistic prospects rice cropping,prospect rice cropping,1
"In systems where carry-over effects of water and nutrients play an important role it is better to use models speciﬁcally designed for that purpose , using models such as APSIM and DSSAT , for example see Singh et al. ( 2015a ) ; Singh et al. ( 2015b ) ; ( Gaydon et al ., 2012a ; Gaydon et al ., 2012b ) .",water nutrients play,water nutrient play,PROMOTE,water nutrients play,water nutrient play,1
"There is a large imbalance between rice and veg - etables in terms of available data and models for the study area , probably because there is a rice research institute and not a veg - etable research institute present in the study region .",rice research institute veg etable research institute,rice research institute veg research institute,INHIBIT,etables terms available models,etables term model,1
